"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","23.74","","","","2"
"2012","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","23.99","","","","2"
"2013","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","24.54","","","","2"
"2014","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","25.14","","","","2"
"2015","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","25.51","","","","2"
"2016","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","25.81","","","","2"
"2017","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","26.11","","","","2"
"2018","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","26.86","","","","2"
"2019","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","27.88","","","","2"
"2020","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","29.13","","","","2"
"2021","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","29.26","","","","2"
"2022","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Manufacturing [31-33]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196640","1.2.1.7.1.1","31.04","","","","2"
